Time,Cell num,Birth num,MSE
1,0,0,0
2,21,21,0
3,22,1,0
4,28,5,1
5,30,0,2
6,30,1,0
7,32,0,3
8,33,0,3
9,36,1,3
10,38,1,1
11,39,0,1
12,40,1,0
13,43,2,1
14,47,1,4
15,47,0,1
16,48,0,1
17,47,0,0
18,47,0,1
19,46,0,0
20,46,1,1
21,46,0,1
22,43,0,1
23,40,0,0
24,41,1,0
25,43,0,2
26,42,0,0
27,43,0,2
28,43,0,1
29,47,2,2
30,45,0,0
31,46,1,2
32,45,1,0
33,45,0,2
34,43,0,0
35,42,0,0
36,44,0,2
37,44,0,1
38,45,1,0
39,44,0,0
40,45,1,0
41,46,0,1
42,48,2,1
43,48,0,0
44,48,0,2
45,47,0,1
46,46,0,1
47,45,0,1
48,42,0,0
49,44,0,3
50,44,1,1
51,43,0,0
52,44,1,0
53,42,0,0
54,45,2,1
55,45,0,1
56,42,0,1
57,42,0,0
58,42,0,1
59,43,1,1
60,43,0,1
61,44,0,2
62,45,1,1
63,47,1,2
64,47,1,0
65,49,0,2
66,52,2,2
67,51,2,0
68,50,0,1
69,52,1,2
70,54,1,1
71,55,2,1
72,55,2,0
73,57,1,1
74,59,1,2
75,58,0,0
76,58,0,0
77,60,1,2
78,62,0,3
79,61,0,1
80,61,1,1
81,57,2,0
82,57,0,0
83,57,0,0
84,59,3,1
85,60,0,3
86,62,0,4
87,63,1,0
88,67,1,3
